Machine_ID,Temperature,Run_Time,Downtime_Flag,Hydraulic_Pressure,Coolant_Temperature,Spindle_Speed,Defect_Rate
M004,98.7,20.5,1,122.55,53.0,1060,13.38
M018,55.3,23.0,0,137.69,23.5,1599,4.25
M008,61.6,4.6,1,146.17,60.8,2403,6.09
M004,65.2,15.3,0,148.09,48.0,674,0.21
M002,70.6,11.9,0,143.52,22.1,2656,1.2
M006,119.7,8.9,0,193.74,78.2,2730,4.68
M010,98.8,9.1,0,170.6,76.9,4787,0.24
M004,76.9,10.5,0,163.12,50.8,4660,0.09
M018,101.6,17.2,0,104.98,25.6,4420,4.58
M012,114.1,14.8,0,190.39,65.3,1997,3.53
M002,117.1,11.6,0,190.94,49.5,4354,1.54
M010,54.1,2.7,0,178.02,38.1,3671,1.99
M004,77.6,2.8,0,100.7,49.5,2067,7.67
M014,57.5,1.1,0,105.73,51.3,1651,0.03
M016,73.5,23.3,0,122.52,53.8,868,14.08
M015,61.9,1.1,0,113.13,46.5,542,2.07
M008,95.3,3.4,0,139.88,56.3,2407,2.01
M014,77.2,8.2,0,192.26,75.1,3990,1.95
M008,66.1,19.6,0,147.21,41.7,3035,1.04
M016,68.6,23.1,0,101.34,63.5,4673,9.57
M013,75.2,19.2,0,128.27,73.7,3373,11.0
M018,68.2,16.9,0,104.46,47.4,2324,10.14
M015,81.7,13.0,1,103.63,46.6,1793,0.69
M013,52.3,3.0,1,127.57,56.1,3886,8.68
M009,69.6,23.0,1,127.56,55.5,3472,8.54
M015,78.8,18.4,1,178.71,68.4,4422,13.03
M013,92.2,15.7,0,197.48,48.6,1492,1.9
M001,69.0,18.5,0,137.12,79.8,2886,1.86
M007,59.3,17.7,0,142.89,23.6,2740,9.28
M009,55.3,15.7,0,184.48,20.2,1976,9.5
M001,115.8,23.6,0,126.81,58.4,3907,7.04
M012,79.2,21.8,0,115.64,37.9,889,6.65
M008,90.7,15.9,0,185.31,34.4,1499,2.47
M011,114.3,16.9,0,104.65,38.7,2355,12.92
M019,55.8,2.2,0,161.97,35.4,1158,6.92
M017,111.4,16.4,0,156.2,21.8,3263,14.1
M008,88.6,2.0,1,134.59,78.3,4163,2.52
M003,61.5,14.5,0,131.52,33.2,1981,4.75
M003,78.8,24.0,1,177.19,64.0,4231,12.49
M001,104.4,13.8,0,108.64,65.8,951,5.44
M005,83.6,11.9,1,123.68,75.8,2975,12.95
M010,119.0,8.2,0,173.24,21.8,3722,1.65
M007,76.4,3.8,0,154.83,72.3,2037,13.88
M009,102.5,17.8,0,112.8,51.6,3593,3.16
M007,77.5,5.4,0,188.21,58.0,1382,0.27
M009,108.0,3.7,0,139.34,58.7,4908,3.22
M008,89.8,10.7,0,182.79,69.2,4568,14.61
M012,54.4,19.3,0,178.77,40.0,3066,0.35
M002,52.6,18.1,0,162.44,64.0,3777,2.77
M001,59.4,2.3,0,149.45,51.7,874,3.74
M016,51.0,11.5,1,197.96,67.6,4197,12.15
M005,55.3,13.0,0,114.5,79.4,3562,6.21
M003,98.4,15.8,0,172.52,32.0,3750,1.02
M012,87.4,16.0,0,119.12,79.7,612,0.64
M008,102.5,9.4,0,133.83,25.4,3697,2.9
M003,113.9,13.9,0,130.87,20.1,2878,2.26
M001,91.0,12.1,1,194.7,22.6,2424,4.74
M003,100.8,21.4,1,196.74,40.5,639,0.3
M005,103.0,13.2,0,118.3,58.0,1924,10.28
M015,76.4,11.1,0,102.2,24.1,3449,0.37
M014,66.9,10.3,1,172.0,20.3,3668,2.57
M003,64.4,14.2,0,141.8,76.2,1016,6.8
M001,67.6,19.5,0,108.88,69.3,3116,2.27
M005,69.2,13.4,0,168.38,68.6,1387,10.29
M014,64.5,16.2,0,154.51,73.1,3604,4.55
M007,111.5,18.0,0,198.05,62.0,549,9.59
M009,103.0,13.0,1,122.74,26.3,4451,14.3
M015,53.3,10.8,0,140.4,43.9,4060,13.22
M015,68.8,21.2,0,154.25,63.4,518,2.92
M010,51.6,10.6,1,179.17,36.8,1973,4.17
M013,84.9,11.6,0,154.88,61.2,4561,3.21
M019,83.3,23.8,0,161.29,21.5,3106,0.39
M007,108.2,1.0,0,122.61,38.4,951,11.11
M017,71.5,5.3,0,184.69,52.9,4265,0.47
M020,107.1,9.8,0,142.86,57.9,2938,2.97
M004,117.8,22.4,0,114.1,54.6,4810,10.54
M005,56.2,2.6,0,166.42,61.9,2049,1.0
M007,105.4,1.2,0,121.61,20.4,3974,1.15
M013,91.3,2.2,0,109.76,26.1,627,13.74
M015,83.6,3.0,0,186.2,72.1,3261,3.08
M011,79.4,1.9,0,146.02,60.9,4956,3.69
M004,104.9,12.0,1,174.93,26.8,1915,3.45
M013,94.8,14.4,0,129.06,70.5,701,2.98
M007,106.4,7.2,0,178.7,34.5,2869,2.51
M019,113.2,10.2,0,111.19,48.7,1017,4.88
M002,93.2,3.1,0,135.6,28.7,1841,3.42
M010,118.6,8.7,0,197.81,62.6,2488,5.63
M013,92.6,13.0,1,179.4,60.0,4045,4.0
M006,94.6,17.8,0,149.73,32.7,4302,4.42
M012,88.8,1.1,1,133.98,71.8,3775,0.63
M012,56.4,11.7,0,187.21,44.1,4154,1.0
M020,100.8,7.8,0,154.48,37.6,2934,1.08
M011,88.3,20.6,0,175.84,29.1,707,10.37
M007,81.6,17.5,0,175.41,36.0,3133,9.05
M001,113.7,14.5,0,101.79,21.3,4617,3.09
M001,70.9,7.4,1,112.63,55.0,653,14.11
M020,86.7,21.9,0,165.96,70.5,3866,3.88
M013,98.8,2.0,0,116.16,52.9,4814,1.92
M009,105.8,3.5,0,125.55,33.2,2018,5.21
M003,82.2,10.0,0,194.66,22.0,3100,2.18
M007,108.9,3.9,0,156.02,32.9,2695,5.94
M006,103.8,23.0,0,175.07,45.0,4998,10.04
M008,54.6,19.4,0,155.8,65.6,4054,4.46
M009,53.2,7.0,0,155.25,31.3,2914,1.53
M005,93.5,14.5,0,109.42,63.2,3349,8.28
M001,74.3,23.6,0,134.37,72.0,2242,11.84
M019,64.6,21.3,0,128.24,47.2,1806,6.24
M010,90.6,14.8,0,139.07,69.3,4349,0.84
M012,73.9,21.8,0,179.83,53.3,4668,7.12
M015,87.6,23.8,0,137.19,58.2,4695,0.83
M009,82.2,18.1,0,145.17,51.6,3055,14.14
M020,90.9,2.5,0,139.74,47.8,2805,0.37
M017,78.0,10.2,0,109.34,34.1,1588,2.19
M017,98.8,20.3,0,144.11,38.2,3142,2.65
M020,62.6,6.3,0,119.56,37.4,1677,4.93
M012,98.8,20.1,1,118.67,53.8,3494,2.49
M007,78.8,3.8,0,109.4,27.2,1059,0.57
M002,111.2,2.1,0,135.67,75.0,3464,0.13
M003,86.1,9.8,1,175.75,63.2,1771,2.33
M017,118.1,1.8,0,127.64,44.1,2313,3.11
M005,92.1,23.0,0,131.23,29.5,3415,9.46
M017,65.7,20.0,0,164.27,72.9,1109,1.1
M017,107.5,19.4,0,119.58,69.4,2961,0.1
M017,74.2,15.5,0,189.7,63.3,4620,4.13
M002,74.3,6.0,0,152.02,36.3,783,1.83
M002,52.2,12.9,0,144.76,44.1,3428,1.77
M005,88.4,14.7,0,155.78,26.2,4896,4.54
M001,87.4,13.1,0,116.6,31.3,1591,4.88
M001,74.9,7.0,1,161.35,67.0,1316,0.85
M019,112.6,12.9,0,136.31,62.9,582,4.49
M002,59.0,12.3,0,189.72,55.6,2420,3.88
M012,73.1,23.9,0,116.89,73.7,3991,1.15
M006,72.5,21.6,0,150.71,55.0,3644,14.8
M004,56.5,11.7,0,159.81,48.0,2593,4.07
M011,83.7,15.3,0,103.34,40.4,675,1.48
M017,98.1,18.2,0,136.37,76.4,3204,12.44
M006,85.8,1.8,0,173.26,25.0,869,3.53
M005,61.0,21.6,0,182.04,75.9,2318,9.26
M020,76.4,20.8,0,131.32,69.6,2601,2.34
M002,50.2,11.5,0,179.86,27.8,3990,7.18
M006,110.8,10.0,0,196.78,53.9,2279,3.9
M011,55.9,7.3,1,185.69,72.0,1864,1.52
M016,91.8,12.0,0,111.76,54.3,4962,4.68
M016,119.0,2.0,0,173.97,74.4,3842,0.02
M001,87.6,20.6,0,131.97,76.6,4176,0.87
M009,114.7,1.8,0,198.84,45.3,2926,13.13
M006,66.5,8.6,1,148.54,42.6,572,2.21
M016,103.2,22.4,0,112.24,76.2,3462,4.92
M003,87.2,17.9,0,172.52,60.5,1359,1.98
M020,100.4,7.5,0,132.3,27.0,4356,10.73
M004,54.4,6.8,0,199.71,22.5,4638,4.23
M019,60.3,1.1,0,197.98,53.9,2924,5.46
M003,59.3,17.0,1,165.61,75.8,1564,0.95
M019,98.1,2.1,0,112.98,70.7,2717,5.21
M020,109.1,13.2,0,168.69,60.6,4517,2.74
M007,102.5,23.1,1,109.3,28.3,2759,4.96
M020,52.1,3.5,0,102.94,35.3,4251,3.32
M009,110.7,21.6,0,182.3,72.5,2586,2.99
M001,74.8,23.8,0,120.98,31.0,868,0.67
M008,77.8,2.4,1,137.9,36.7,3304,1.9
M007,57.3,21.3,0,197.35,27.8,650,8.44
M018,101.6,12.9,0,133.68,60.6,1634,3.83
M008,62.8,21.8,0,129.65,76.6,3284,14.11
M001,89.5,14.1,0,191.82,36.1,4664,0.08
M011,108.8,16.2,0,111.07,48.5,2846,7.84
M018,56.2,13.5,0,175.96,58.1,2750,7.06
M010,87.5,20.9,0,198.81,80.0,560,9.84
M003,66.3,17.9,0,190.13,26.3,3510,2.8
M007,74.0,13.0,1,165.17,49.9,4401,3.44
M016,83.2,21.0,0,131.41,43.1,1837,3.29
M016,74.9,6.6,0,125.43,71.9,1684,0.59
M020,95.4,4.6,0,181.93,48.6,4926,4.0
M017,83.6,4.7,0,187.98,26.7,2051,1.85
M002,90.9,8.7,0,152.54,58.1,4933,3.49
M001,101.6,6.5,0,124.43,66.2,2129,2.08
M016,89.0,22.4,0,111.29,20.2,1827,2.57
M012,91.1,3.4,0,108.72,71.5,2026,4.52
M005,89.5,17.1,0,171.91,31.2,2173,13.35
M005,76.5,5.4,0,142.01,53.1,1861,4.09
M009,73.6,21.3,0,190.54,44.9,2073,7.65
M009,113.0,23.1,1,173.97,63.2,3186,11.04
M003,92.5,11.7,0,119.13,42.3,4870,7.69
M019,67.1,21.2,1,161.38,72.2,2866,4.35
M016,84.9,1.1,1,143.55,63.8,4257,6.04
M016,73.1,19.9,0,157.72,58.9,2934,4.85
M003,115.4,6.3,0,173.81,67.8,2493,4.66
M020,50.5,21.9,0,180.62,65.2,1369,3.71
M001,65.8,1.0,0,184.37,22.2,1514,1.4
M020,75.6,13.8,0,125.4,43.7,2411,0.66
M011,84.1,18.4,0,103.11,75.8,1102,12.82
M017,109.6,6.9,0,173.93,27.5,4321,2.48
M008,56.2,5.4,0,110.63,64.2,1190,4.27
M004,106.4,2.9,0,131.49,78.5,993,7.36
M006,53.9,8.5,0,100.38,23.1,989,2.03
M008,109.0,13.9,0,168.17,60.9,3056,13.55
M020,53.6,3.7,0,116.71,48.1,4985,9.06
M003,51.3,9.7,0,165.53,54.8,794,8.65
M016,98.8,1.2,0,199.17,25.1,4527,8.38
M003,119.8,19.8,1,107.27,22.6,3343,5.57
M018,112.8,4.0,0,107.71,60.0,3412,3.93
M014,90.3,7.5,0,134.04,69.4,2217,1.26
M018,114.2,1.4,0,186.64,66.9,3096,14.08
M002,50.4,10.9,0,121.55,52.6,2373,4.47
M003,118.3,20.3,1,136.04,26.0,3758,5.06
M016,84.4,10.0,0,106.85,61.3,3317,3.65
M009,100.6,5.1,1,176.32,34.5,944,8.6
M004,107.5,18.3,0,140.83,74.7,4141,5.06
M001,100.3,19.1,0,175.92,70.3,4958,14.83
M004,87.5,5.0,0,190.36,62.6,1241,0.13
M001,83.4,18.7,0,123.28,76.9,2541,1.26
M014,108.7,22.8,0,180.74,21.9,1179,7.8
M016,64.4,4.8,1,105.91,64.2,2967,7.83
M020,117.8,18.7,1,189.88,39.8,4197,2.94
M008,99.8,17.3,0,165.08,74.4,1858,3.76
M007,64.0,11.9,1,187.42,36.0,562,3.12
M003,101.5,2.3,1,100.02,63.5,3059,3.0
M017,87.1,2.7,0,116.91,72.7,4269,0.27
M001,99.5,20.6,0,138.98,22.5,4851,5.65
M016,103.7,23.8,0,137.95,43.9,634,1.16
M012,56.1,16.5,0,122.67,65.7,4144,3.98
M019,85.4,11.3,0,138.16,47.3,2635,8.32
M014,115.2,15.9,0,112.88,36.0,3778,1.0
M006,72.4,14.7,0,141.28,33.2,1322,1.47
M006,91.6,9.8,0,180.24,27.9,3574,3.56
M013,75.8,2.5,0,147.91,71.4,3481,4.74
M019,81.8,19.9,1,101.8,54.5,620,14.17
M008,88.4,9.6,1,142.14,24.6,2137,3.05
M002,88.4,19.8,0,102.72,43.0,1424,4.62
M001,64.1,6.8,1,196.62,42.1,1144,3.93
M015,97.9,1.0,0,112.75,30.9,2532,8.85
M001,56.2,4.7,0,170.77,46.1,3261,0.03
M005,59.7,11.8,0,197.28,39.9,2568,11.59
M016,50.2,22.7,0,182.6,40.5,741,3.51
M019,58.2,3.4,0,169.93,64.3,3168,9.23
M004,83.1,20.6,0,183.95,33.4,1302,3.8
M003,92.4,13.1,0,198.18,58.5,4664,7.69
M017,105.6,20.0,0,162.13,54.2,695,10.56
M017,57.5,7.9,0,155.92,54.1,2687,14.03
M012,109.6,20.3,0,162.82,59.8,4015,5.64
M014,102.2,18.8,0,153.27,52.9,2830,10.62
M006,78.6,6.3,0,163.51,72.8,2859,7.14
M003,115.3,4.0,0,144.98,60.5,4106,3.37
M009,119.4,21.0,0,121.84,52.8,776,11.44
M005,64.4,23.2,0,112.02,69.8,560,0.68
M017,76.5,1.7,0,106.83,56.4,3890,9.7
M014,114.9,17.8,0,126.33,37.5,2413,1.13
M003,100.5,21.9,0,104.61,32.4,4427,3.35
M001,53.4,20.7,0,156.72,29.1,3091,2.34
M020,104.7,23.2,0,128.38,74.0,1066,11.6
M001,108.0,18.5,0,182.45,62.6,4435,0.62
M003,102.5,11.2,0,107.42,76.2,2071,3.13
M018,106.0,8.2,0,122.64,56.2,1700,4.18
M010,107.8,8.4,0,173.02,48.4,4909,12.79
M003,63.0,17.7,0,159.88,23.6,3354,4.64
M008,66.5,18.2,0,106.45,60.3,3395,14.95
M014,94.4,5.6,1,187.72,54.9,1736,11.94
M018,113.6,21.0,0,187.73,79.4,636,11.31
M015,72.1,17.4,0,133.04,34.3,1529,3.23
M002,91.2,13.9,0,134.04,51.8,2656,1.68
M010,97.8,11.8,0,198.9,59.1,3094,6.99
M002,81.6,13.5,0,162.62,58.7,1161,3.87
M017,100.0,4.7,0,153.13,53.7,2972,4.57
M008,113.0,5.7,0,183.82,66.6,3177,0.95
M001,93.7,3.1,0,128.53,32.3,2808,4.61
M009,87.8,4.5,0,142.92,63.5,586,10.43
M011,80.7,11.4,1,126.78,57.2,3012,9.16
M016,90.4,13.2,0,178.92,73.8,3442,3.0
M007,74.9,1.4,0,157.33,70.8,3273,0.28
M010,77.4,19.3,0,165.88,38.9,3004,2.84
M003,87.2,7.8,0,125.23,36.6,3810,3.26
M018,54.7,22.0,0,122.02,78.9,2200,3.16
M013,66.0,23.3,0,148.84,51.6,4170,2.78
M007,88.0,5.3,0,173.76,74.4,3200,12.85
M004,80.2,11.6,0,152.52,29.8,4129,12.53
M013,73.3,1.0,0,103.26,58.6,2147,13.91
M020,101.1,14.8,1,186.86,68.6,3818,5.49
M001,98.6,15.0,0,106.47,76.8,4187,1.59
M008,61.7,6.7,0,195.58,40.2,1096,11.24
M014,111.5,13.8,0,102.51,63.5,984,2.16
M016,84.7,6.2,0,169.45,52.3,1145,1.31
M014,101.9,4.7,0,108.22,23.6,3589,1.41
M012,90.1,16.0,0,191.07,61.4,4884,2.09
M019,119.8,8.5,0,146.44,61.4,1220,4.39
M015,102.7,14.6,0,113.75,75.8,998,4.98
M002,99.5,11.0,0,134.08,49.8,2173,4.41
M002,104.5,23.6,0,116.48,33.8,3567,0.21
M019,60.0,4.4,0,117.06,22.7,614,9.56
M017,64.3,11.7,1,194.81,44.9,3479,8.96
M020,100.0,16.7,0,144.52,38.1,2236,3.27
M010,84.6,10.1,0,178.88,65.7,4111,2.88
M006,102.8,23.4,1,163.96,41.3,2753,1.48
M015,57.2,17.6,0,167.64,76.9,2794,9.29
M011,87.6,16.1,1,113.17,77.7,4130,3.0
M005,76.5,18.4,0,123.42,57.3,646,2.53
M001,82.0,22.9,1,178.68,75.7,4482,5.26
M008,92.3,21.9,0,197.08,65.7,3953,4.56
M012,85.2,17.7,0,126.27,52.8,2910,5.1
M012,87.8,18.2,0,127.16,30.8,636,6.83
M005,84.0,4.4,1,147.29,47.5,3860,3.39
M007,78.6,3.4,1,198.38,53.7,3505,8.15
M004,104.0,14.1,0,126.9,71.8,4052,1.73
M006,50.9,1.4,0,140.7,48.9,518,2.18
M013,91.9,12.1,1,189.15,73.9,2742,3.97
M020,89.6,5.8,0,100.29,60.5,948,1.39
M015,100.1,9.0,0,103.98,28.2,2448,0.71
M003,91.9,18.8,1,160.41,79.7,1445,1.57
M008,107.9,22.6,0,190.74,51.6,4736,4.25
M020,117.1,2.7,0,123.89,43.5,2420,0.44
M016,74.0,13.3,0,146.96,59.5,3477,14.88
M013,65.9,21.3,0,145.05,26.5,4688,8.12
M018,79.7,2.9,1,147.3,58.2,4515,4.92
M010,70.2,20.0,0,162.25,49.9,738,14.08
M019,93.0,9.2,1,146.97,44.4,704,6.79
M017,113.8,8.4,0,144.75,77.2,3107,2.98
M019,59.7,23.5,1,147.43,51.4,4840,2.47
M005,57.1,5.6,0,159.09,33.1,3888,3.6
M009,67.9,16.9,0,153.7,47.5,3472,10.65
M012,100.8,19.9,0,185.41,75.2,4890,1.36
M001,91.5,1.9,0,104.95,30.6,3187,5.12
M001,57.2,16.4,0,183.33,32.8,4666,6.73
M015,114.3,22.9,1,184.39,20.8,1848,13.7
M002,105.3,3.9,0,128.49,20.9,4900,2.84
M016,51.6,21.6,0,146.29,69.8,1316,0.03
M008,95.6,14.7,0,143.85,63.9,1320,0.3
M013,104.0,15.2,0,121.85,41.3,692,4.52
M001,76.2,15.1,0,139.68,61.9,2276,3.24
M016,54.8,7.9,1,104.44,43.7,4145,4.1
M007,55.4,22.5,1,127.78,77.2,750,0.89
M005,57.3,22.8,1,181.67,78.0,2288,1.47
M003,108.8,15.4,0,128.46,43.6,4200,0.57
M012,113.7,19.0,0,181.82,71.3,2963,4.71
M016,58.6,15.1,0,153.16,66.4,1667,11.76
M019,66.5,12.1,0,187.99,38.6,4393,2.31
M005,61.6,16.2,1,157.48,33.9,1596,12.97
M014,63.0,13.7,0,102.97,47.5,3179,1.25
M005,108.6,14.7,0,167.54,66.9,2347,10.76
M015,73.3,19.0,0,104.49,77.6,4404,12.84
M017,71.8,12.1,0,145.06,65.8,1004,1.78
M014,65.9,1.9,1,192.94,71.3,2121,3.79
M020,92.6,4.8,0,116.52,56.2,2972,1.48
M005,76.6,11.1,0,138.99,70.1,3046,1.49
M012,102.1,17.7,1,172.99,67.1,1887,1.61
M016,64.4,14.6,0,188.23,42.6,3494,6.6
M016,105.1,16.0,0,167.09,53.1,4316,3.65
M007,92.3,12.0,0,125.82,68.3,1217,4.7
M004,58.0,15.2,0,167.46,22.8,3984,9.06
M001,79.0,8.6,0,129.67,68.5,4934,4.32
M005,110.4,11.8,1,171.84,30.7,1158,12.34
M010,114.6,18.1,0,195.4,50.9,4508,0.87
M005,82.6,21.1,1,172.14,68.5,4734,7.29
M004,83.7,11.0,0,186.29,35.2,4264,1.75
M002,114.3,2.0,0,100.21,34.7,3489,10.23
M020,91.1,4.7,0,171.76,44.2,2604,14.25
M010,52.3,1.5,0,182.96,73.7,1755,2.06
M019,113.9,16.0,0,104.06,20.0,2982,3.67
M001,67.4,8.6,1,187.16,74.1,883,9.48
M005,90.4,13.5,0,125.67,29.2,3107,2.92
M013,61.6,12.3,0,166.53,79.4,693,5.85
M004,52.4,2.9,0,180.04,77.3,4307,5.33
M016,71.8,10.3,0,166.27,49.7,4219,0.23
M016,104.6,6.1,0,109.23,50.8,3081,1.09
M002,69.4,10.6,0,159.63,48.9,3065,0.08
M017,65.4,5.7,0,154.96,58.1,3263,2.91
M020,64.9,20.3,0,190.03,25.4,3298,1.59
M012,86.1,5.0,0,140.42,22.0,2839,4.37
M018,118.3,23.1,0,132.11,23.5,3906,7.85
M003,82.1,10.6,0,174.99,46.7,1231,3.5
M001,89.0,20.5,0,141.27,36.5,3372,2.05
M001,110.2,15.5,1,164.61,57.3,3620,8.41
M019,87.5,17.9,0,164.65,79.5,4677,14.14
M011,62.9,18.7,0,188.8,43.2,3104,0.41
M005,71.0,12.6,0,159.87,54.4,2882,3.81
M012,71.7,13.5,1,150.22,44.9,1031,11.7
M003,77.8,12.8,0,113.89,70.8,4816,1.48
M001,79.9,14.5,0,111.57,74.1,1134,1.13
M001,106.0,1.7,1,115.43,72.6,2269,5.42
M008,74.5,10.1,0,117.18,78.5,4304,1.38
M010,82.8,14.9,0,163.79,21.7,2870,8.78
M011,93.7,14.7,0,174.1,70.4,502,3.39
M012,76.4,19.2,0,153.0,65.1,705,4.48
M013,108.6,16.1,1,182.9,33.7,4635,11.75
M012,91.1,23.8,0,199.13,77.4,3121,3.5
M014,70.6,7.5,0,182.0,28.9,3390,9.25
M002,100.0,9.3,0,169.49,60.8,3693,12.95
M019,86.9,9.8,0,153.25,33.5,3166,3.35
M018,87.4,11.7,0,144.89,45.9,3806,13.1
M003,83.7,20.2,0,108.44,63.1,1397,3.95
M017,84.8,6.4,0,139.94,53.8,1585,3.74
M008,103.6,18.8,0,191.01,45.7,1779,8.42
M010,57.2,10.3,0,180.8,39.6,1170,1.23
M002,73.4,14.8,0,121.61,70.4,2005,6.35
M019,55.3,15.5,0,146.66,28.6,4075,11.9
M009,102.7,9.6,0,181.67,45.8,2455,0.16
M007,69.1,12.8,1,106.74,74.2,749,3.91
M004,112.8,10.5,0,138.74,70.8,2392,3.6
M018,86.9,2.6,0,185.18,44.1,3939,2.16
M013,106.1,11.1,0,140.39,65.8,2353,0.58
M011,118.5,3.2,0,107.76,69.4,3354,0.41
M004,108.8,10.3,0,154.25,73.3,2003,2.62
M004,110.7,14.6,0,186.17,52.7,3885,3.27
M010,78.6,14.3,0,159.03,32.3,4071,14.84
M005,88.6,16.2,0,122.63,35.3,4292,2.87
M009,67.8,3.2,0,138.42,37.7,3926,0.69
M003,63.7,16.0,0,145.01,55.6,543,3.44
M017,85.4,8.2,0,157.93,22.0,4112,13.47
M003,91.7,10.2,1,175.94,58.2,3118,11.18
M016,73.7,20.7,0,109.89,41.9,3663,1.15
M004,89.9,1.2,0,188.97,37.7,1788,13.44
M018,112.1,14.5,0,101.23,72.8,3442,3.97
M017,89.0,14.8,1,137.01,47.6,719,2.37
M007,100.5,10.1,0,102.74,25.7,2425,0.78
M005,106.4,6.5,1,139.3,69.6,3472,8.36
M012,119.2,6.4,0,152.58,22.9,4013,0.78
M017,92.2,21.3,0,151.17,63.6,2948,12.52
M013,106.5,11.2,1,116.56,66.4,3971,5.38
M003,117.4,8.6,0,164.57,41.2,3274,4.56
M009,116.1,11.3,0,104.48,69.5,1490,8.49
M017,59.9,16.4,0,176.19,50.9,3446,2.74
M017,78.4,4.4,1,194.66,47.8,2312,0.7
M020,72.7,11.3,0,133.98,22.7,1303,8.65
M016,56.1,14.5,0,151.72,37.4,989,11.43
M013,94.3,22.8,0,137.89,75.9,4056,11.72
M019,101.5,6.8,0,100.67,43.5,1993,1.38
M017,109.4,9.3,0,138.59,52.8,4145,3.06
M004,58.6,9.7,1,179.17,51.9,3391,0.25
M012,111.4,14.9,1,159.6,55.4,2205,3.4
M009,95.0,9.2,1,110.13,23.7,4016,0.38
M019,99.3,13.3,0,184.71,41.7,3840,6.31
M012,113.7,19.0,0,153.11,63.4,553,9.03
M009,93.7,17.2,0,184.17,32.0,3075,14.06
M007,73.5,11.3,0,158.02,32.2,4091,4.68
M014,107.8,20.9,0,155.97,20.6,1115,1.25
M020,75.4,13.8,1,110.53,46.2,1454,9.81
M019,52.4,13.4,0,116.74,73.0,2933,3.1
M015,108.1,1.8,0,197.2,23.1,2129,1.66
M016,74.2,23.7,0,122.85,31.5,3281,13.92
M005,104.2,3.8,0,197.75,38.6,1149,12.67
M003,75.4,6.3,0,153.19,63.9,2847,1.12
M012,110.3,2.2,0,113.58,58.4,4990,1.2
M020,65.4,15.7,0,109.93,45.0,3778,7.68
M004,118.2,6.2,0,120.89,65.5,3140,3.87
M016,104.6,5.1,0,192.56,56.6,4301,0.66
M007,58.0,3.0,0,141.42,73.8,3061,10.4
M013,89.6,3.4,0,139.54,69.1,3749,3.24
M010,119.0,14.4,0,131.32,35.2,870,1.16
M007,83.0,16.8,0,114.71,36.3,1357,10.22
M014,62.7,10.1,0,148.79,27.5,883,4.7
M005,83.9,12.0,0,113.0,40.2,4377,0.7
M003,85.9,16.8,0,183.55,80.0,3052,4.79
